SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
84,DC:A6:32:33:E9:E9,2020-06-25 16:34:43.273187,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
85,DC:A6:32:33:E9:E9,2020-06-25 16:34:44.163177,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
86,DC:A6:32:33:E9:E9,2020-06-25 16:34:45.021162,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
87,DC:A6:32:33:E9:E9,2020-06-25 16:34:46.016956,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
88,DC:A6:32:33:E9:E9,2020-06-25 16:34:47.302536,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
89,DC:A6:32:33:E9:E9,2020-06-25 16:34:49.255682,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
90,DC:A6:32:33:E9:E9,2020-06-25 16:34:50.066286,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
91,DC:A6:32:33:E9:E9,2020-06-25 16:34:51.004420,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-25,0.19
92,DC:A6:32:33:E9:E9,2020-06-25 16:34:52.034412,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
93,DC:A6:32:33:E9:E9,2020-06-25 16:34:53.661976,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
94,DC:A6:32:33:E9:E9,2020-06-25 16:34:54.137525,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
95,DC:A6:32:33:E9:E9,2020-06-25 16:34:55.046937,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
96,DC:A6:32:33:E9:E9,2020-06-25 16:34:56.336923,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
97,DC:A6:32:33:E9:E9,2020-06-25 16:34:57.623189,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
98,DC:A6:32:33:E9:E9,2020-06-25 16:34:58.613162,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
99,DC:A6:32:33:E9:E9,2020-06-25 16:34:59.963153,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
100,DC:A6:32:33:E9:E9,2020-06-25 16:35:00.038128,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
101,DC:A6:32:33:E9:E9,2020-06-25 16:35:01.108176,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
102,DC:A6:32:33:E9:E9,2020-06-25 16:35:02.813197,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
103,DC:A6:32:33:E9:E9,2020-06-25 16:35:03.220486,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
104,DC:A6:32:33:E9:E9,2020-06-25 16:35:04.076943,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
105,DC:A6:32:33:E9:E9,2020-06-25 16:35:06.082002,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
